id,text
1,16630000-0
2,22900000-9
3,30233120-8
4,34962230-9
5,35120000-1
6,45000000-7
7,45100000-8
8,45110000-1
9,45111000-8
10,45111100-9
11,45111290-7
12,45112100-6
13,45112360-6
14,45112450-4
15,45112700-2
16,45112710-5
17,45112711-2
18,45112712-9
19,45112714-3
20,45112720-8
21,45112723-9
22,45113000-2
23,45120000-4
24,45200000-9
25,45210000-2
26,45211000-9
27,45211100-0
28,45211300-2
29,45211310-5
30,45211340-4
31,45211350-7
32,45211360-0
33,45212000-6
34,45212100-7
35,45212120-3
36,45212200-8
37,45212210-1
38,45212212-5
39,45212220-4
40,45212221-1
41,45212224-2
42,45212225-9
43,45212290-5
44,45212300-9
45,45212310-2
46,45212314-0
47,45212320-5
48,45212350-4
49,45212360-7
50,45212400-0
51,45212410-3
52,45212500-1
53,45213000-3
54,45213140-6
55,45213142-0
56,45213150-9
57,45213200-5
58,45213210-8
59,45213220-1
60,45213230-4
61,45213240-7
62,45213242-1
63,45213250-0
64,45213251-7
65,45213316-1
66,45214000-0
67,45214100-1
68,45214200-2
69,45214210-5
70,45214220-8
71,45214310-6
72,45214400-4
73,45214700-7
74,45215000-7
75,45215100-8
76,45215110-1
77,45215143-1
78,45215200-9
79,45215210-2
80,45215222-9
81,45216111-5
82,45216113-9
83,45220000-5
84,45221100-3
85,45221110-6
86,45221112-0
87,45221119-9
88,45221250-9
89,45222100-0
90,45222110-3
91,45223000-6
92,45223210-1
93,45223300-9
94,45223500-1
95,45223800-4
96,45231000-5
97,45231100-6
98,45231220-3
99,45231300-8
100,45231600-1
101,45232000-2
102,45232130-2
103,45232140-5
104,45232142-9
105,45232151-5
106,45232220-0
107,45232400-6
108,45232410-9
109,45232411-6
110,45232450-1
111,45232451-8
112,45232452-5
113,45233000-9
114,45233110-3
115,45233120-6
116,45233123-7
117,45233124-4
118,45233125-1
119,45233140-2
120,45233141-9
121,45233142-6
122,45233161-5
123,45233162-2
124,45233200-1
125,45233220-7
126,45233223-8
127,45233228-3
128,45233250-6
129,45233251-3
130,45233252-0
131,45233253-7
132,45233260-9
133,45233261-6
134,45233292-2
135,45234100-7
136,45234116-2
137,45234125-8
138,45234126-5
139,45236110-4
140,45236119-7
141,45236250-7
142,45236290-9
143,45240000-1
144,45241000-8
145,45246000-3
146,45247000-0
147,45247110-4
148,45247112-8
149,45247130-0
150,45248000-7
151,45251000-1
152,45251100-2
153,45251110-5
154,45251160-0
155,45252130-8
156,45255110-3
157,45255500-4
158,45255600-5
159,45259900-6
160,45260000-7
161,45261000-4
162,45261200-6
163,45261210-9
164,45261211-6
165,45261400-8
166,45261410-1
167,45261900-3
168,45261910-6
169,45261920-9
170,45262000-1
171,45262100-2
172,45262220-9
173,45262510-9
174,45262600-7
175,45262640-9
176,45262660-5
177,45262690-4
178,45262700-8
179,45262800-9
180,45300000-0
181,45310000-3
182,45312100-8
183,45313000-4
184,45313100-5
185,45314000-1
186,45314300-4
187,45314310-7
188,45315000-8
189,45315100-9
190,45315300-1
191,45315600-4
192,45315700-5
193,45316000-5
194,45316110-9
195,45316213-1
196,45320000-6
197,45321000-3
198,45330000-9
199,45331000-6
200,45331100-7
201,45331200-8
202,45340000-2
203,45350000-5
204,45400000-1
205,45420000-7
206,45421000-4
207,45421100-5
208,45421130-4
209,45422100-2
210,45430000-0
211,45431000-7
212,45442100-8
213,45443000-4
214,45453000-7
215,45453100-8
216,45454000-4
217,45454100-5
218,45500000-2
219,45520000-8
220,48000000-8
221,48218000-9
222,50000000-5
223,50110000-9
224,50111100-7
225,50112110-7
226,50116100-2
227,50221400-4
228,50232000-0
229,50232200-2
230,50312600-1
231,50334110-9
232,50421200-4
233,50500000-0
234,50530000-9
235,50531100-7
236,50532000-3
237,50610000-4
238,50700000-2
239,50710000-5
240,50711000-2
241,50750000-7
242,51300000-5
243,55110000-4
244,55300000-3
245,55500000-5
246,55520000-1
247,55523000-2
248,55524000-9
249,60000000-8
250,60100000-9
251,60120000-5
252,60130000-8
253,60140000-1
254,63510000-7
255,63515000-2
256,63712400-7
257,64121200-2
258,64200000-8
259,64210000-1
260,64212000-5
261,64221000-1
262,66510000-8
263,66512200-4
264,66514110-0
265,66515000-3
266,66516000-0
267,70100000-2
268,70330000-3
269,71000000-8
270,71220000-6
271,71240000-2
272,71300000-1
273,71317100-4
274,71317200-5
275,71318000-0
276,71320000-7
277,71324000-5
278,71351914-3
279,71354200-6
280,71356400-2
281,71550000-8
282,71621000-7
283,71631000-0
284,72000000-5
285,72200000-7
286,72210000-0
287,72212180-4
288,72212190-7
289,72212220-7
290,72212311-2
291,72212421-6
292,72212440-5
293,72224100-2
294,72225000-8
295,72230000-6
296,72240000-9
297,72250000-2
298,72260000-5
299,72261000-2
300,72262000-9
301,72267000-4
302,72268000-1
303,72313000-2
304,72400000-4
305,72600000-6
306,72611000-6
307,73000000-2
308,76100000-4
309,77100000-1
310,77200000-2
311,77211500-7
312,77300000-3
313,77313000-7
314,79000000-4
315,79111000-5
316,79200000-6
317,79210000-9
318,79211100-7
319,79212000-3
320,79315000-5
321,79340000-9
322,79341000-6
323,79342000-3
324,79342200-5
325,79416000-3
326,79521000-2
327,79530000-8
328,79611000-0
329,79710000-4
330,79713000-5
331,79714000-2
332,79810000-5
333,79811000-2
334,79820000-8
335,79821000-5
336,79950000-8
337,79952000-2
338,79960000-1
339,79961000-8
340,80000000-4
341,80300000-7
342,80400000-8
343,80420000-4
344,80500000-9
345,80530000-8
346,80533200-1
347,80570000-0
348,80580000-3
349,80590000-6
350,85100000-0
351,85110000-3
352,85111800-8
353,85120000-6
354,85121100-4
355,85121200-5
356,85140000-2
357,85141000-9
358,85144000-0
359,85145000-7
360,85147000-1
361,85200000-1
362,85312320-8
363,90500000-2
364,90510000-5
365,90511000-2
366,90512000-9
367,90610000-6
368,90900000-6
369,90910000-9
370,90911000-6
371,90911200-8
372,90919200-4
373,90922000-6
374,92521000-9
375,92521220-7
376,92522200-8
377,98000000-3
378,98110000-7
379,98310000-9
380,98341120-2
381,98392000-7
